Timestamp,Heart Rate,RR Interval in seconds
2023/11/26 23:43:52,80,0.384
2023/11/26 23:43:53,80,0.386
2023/11/26 23:43:54,79,1.537
2023/11/26 23:43:56,79,0.762
2023/11/26 23:43:57,79,0.946
2023/11/26 23:43:58,79,2.422
2023/11/26 23:43:59,79,0.853
2023/11/26 23:43:59,79,0.867
2023/11/26 23:44:00,78,0.879
2023/11/26 23:44:02,76,0.369
2023/11/26 23:44:03,73,1.272
2023/11/26 23:44:03,73,1.639
2023/11/26 23:44:04,73,0.774
2023/11/26 23:44:05,72,0.736
2023/11/26 23:44:06,73,0.698
2023/11/26 23:44:08,75,0.732
2023/11/26 23:44:08,77,0.785
2023/11/26 23:44:08,77,0.882
2023/11/26 23:44:09,76,0.928
2023/11/26 23:44:09,76,0.901
2023/11/26 23:44:10,73,0.485
2023/11/26 23:44:11,72,0.439
2023/11/26 23:44:12,69,0.923
2023/11/26 23:44:12,69,0.873
2023/11/26 23:44:13,68,0.533
2023/11/26 23:44:13,68,0.274
2023/11/26 23:44:14,67,0.790
2023/11/26 23:44:15,67,0.755
2023/11/26 23:44:16,68,0.759
2023/11/26 23:44:17,71,0.808
2023/11/26 23:44:17,71,0.842
2023/11/26 23:44:18,72,0.812
2023/11/26 23:44:19,72,0.794
2023/11/26 23:44:20,72,0.814
2023/11/26 23:44:22,72,0.899
2023/11/26 23:44:22,72,0.829
2023/11/26 23:44:24,72,0.891
2023/11/26 23:44:24,71,0.928
2023/11/26 23:44:24,71,0.899
2023/11/26 23:44:25,71,0.891
2023/11/26 23:44:26,70,0.838
2023/11/26 23:44:27,70,0.837
2023/11/26 23:44:28,70,0.858
2023/11/26 23:44:29,70,0.836
2023/11/26 23:44:29,70,0.812
2023/11/26 23:44:30,71,0.788
2023/11/26 23:44:31,71,0.764
2023/11/26 23:44:32,72,0.752
2023/11/26 23:44:32,72,0.716
2023/11/26 23:44:33,73,0.708
2023/11/26 23:44:34,76,0.687
2023/11/26 23:44:34,76,0.669
2023/11/26 23:44:35,78,0.655
2023/11/26 23:44:35,78,0.649
