Timestamp,Heart Rate,RR Interval in seconds
2023/11/17 23:45:15,69,0.869
2023/11/17 23:45:16,69,0.972
2023/11/17 23:45:17,68,0.977
2023/11/17 23:45:18,68,0.914
2023/11/17 23:45:19,67,0.912
2023/11/17 23:45:19,67,0.942
2023/11/17 23:45:21,67,0.894
2023/11/17 23:45:21,67,0.989
2023/11/17 23:45:22,66,0.974
2023/11/17 23:45:23,66,0.980
2023/11/17 23:45:25,65,1.010
2023/11/17 23:45:26,65,1.043
2023/11/17 23:45:27,64,1.046
2023/11/17 23:45:28,63,0.989
2023/11/17 23:45:28,63,0.997
2023/11/17 23:45:29,63,0.938
2023/11/17 23:45:30,63,0.903
2023/11/17 23:45:31,63,0.901
2023/11/17 23:45:32,63,0.916
2023/11/17 23:45:33,64,0.896
2023/11/17 23:45:34,64,0.959
2023/11/17 23:45:35,64,0.974
2023/11/17 23:45:36,64,0.976
2023/11/17 23:45:37,64,0.989
2023/11/17 23:45:38,63,0.995
2023/11/17 23:45:39,63,0.949
2023/11/17 23:45:40,63,0.960
2023/11/17 23:45:41,63,0.970
2023/11/17 23:45:42,63,0.993
2023/11/17 23:45:43,63,0.903
2023/11/17 23:45:44,63,0.918
2023/11/17 23:45:44,63,0.954
2023/11/17 23:45:45,63,0.958
2023/11/17 23:45:46,63,0.883
2023/11/17 23:45:47,63,0.945
2023/11/17 23:45:48,64,0.994
2023/11/17 23:45:49,63,0.988
2023/11/17 23:45:50,63,0.972
2023/11/17 23:45:51,63,0.976
2023/11/17 23:45:52,63,1.000
2023/11/17 23:45:53,63,0.998
2023/11/17 23:45:54,62,0.995
2023/11/17 23:45:55,62,0.998
2023/11/17 23:45:56,62,0.992
2023/11/17 23:45:57,62,0.948
2023/11/17 23:45:58,62,0.978
2023/11/17 23:45:59,62,0.984
2023/11/17 23:46:00,62,0.970
2023/11/17 23:46:01,62,0.946
2023/11/17 23:46:02,62,0.972
2023/11/17 23:46:03,62,0.960
2023/11/17 23:46:04,62,0.881
2023/11/17 23:46:05,62,0.923
2023/11/17 23:46:06,63,0.943
2023/11/17 23:46:07,63,0.876
2023/11/17 23:46:08,64,0.926
2023/11/17 23:46:08,64,0.965
2023/11/17 23:46:09,64,0.956
2023/11/17 23:46:10,63,0.910
2023/11/17 23:46:11,64,0.952
2023/11/17 23:46:12,64,0.990
2023/11/17 23:46:13,63,0.989
2023/11/17 23:46:14,63,0.914
2023/11/17 23:46:15,63,0.936
2023/11/17 23:46:16,63,0.977
2023/11/17 23:46:17,63,0.965
2023/11/17 23:46:18,63,0.892
2023/11/17 23:46:19,63,0.936
2023/11/17 23:46:20,64,0.972
2023/11/17 23:46:21,63,0.964
2023/11/17 23:46:22,63,0.898
2023/11/17 23:46:23,63,0.938
2023/11/17 23:46:24,64,0.961
2023/11/17 23:46:25,64,0.915
2023/11/17 23:46:25,64,0.879
2023/11/17 23:46:26,64,0.932
2023/11/17 23:46:27,64,0.963
2023/11/17 23:46:28,64,0.923
2023/11/17 23:46:29,64,0.904
2023/11/17 23:46:30,64,0.951
2023/11/17 23:46:31,64,0.965
2023/11/17 23:46:32,64,0.921
2023/11/17 23:46:33,64,0.944
2023/11/17 23:46:34,64,0.952
2023/11/17 23:46:35,64,0.918
2023/11/17 23:46:36,64,0.880
2023/11/17 23:46:37,65,0.914
2023/11/17 23:46:37,65,0.938
2023/11/17 23:46:38,65,0.887
2023/11/17 23:46:39,65,0.897
2023/11/17 23:46:40,65,0.956
2023/11/17 23:46:41,65,0.961
2023/11/17 23:46:42,65,0.928
2023/11/17 23:46:43,65,0.936
2023/11/17 23:46:44,65,0.972
2023/11/17 23:46:45,64,0.964
2023/11/17 23:46:46,64,0.903
2023/11/17 23:46:47,64,0.872
2023/11/17 23:46:48,65,0.908
2023/11/17 23:46:49,65,0.934
2023/11/17 23:46:49,65,0.884
2023/11/17 23:46:50,65,0.864
2023/11/17 23:46:51,65,0.904
2023/11/17 23:46:52,66,0.924
2023/11/17 23:46:53,66,0.867
2023/11/17 23:46:54,66,0.882
2023/11/17 23:46:55,66,0.932
2023/11/17 23:46:56,66,0.950
2023/11/17 23:46:57,66,0.967
2023/11/17 23:46:58,66,0.922
2023/11/17 23:46:59,65,0.932
2023/11/17 23:47:00,65,0.959
2023/11/17 23:47:01,65,0.966
2023/11/17 23:47:02,65,0.905
2023/11/17 23:47:02,65,0.936
2023/11/17 23:47:03,65,0.953
2023/11/17 23:47:04,65,0.939
