Timestamp,Heart Rate,RR Interval in seconds
2023/11/28 0:21:06,85,0.723
2023/11/28 0:21:07,85,0.797
2023/11/28 0:21:08,84,0.750
2023/11/28 0:21:09,82,0.826
2023/11/28 0:21:09,82,0.826
2023/11/28 0:21:10,81,0.800
2023/11/28 0:21:11,80,0.842
2023/11/28 0:21:12,79,0.790
2023/11/28 0:21:13,79,0.769
2023/11/28 0:21:13,79,0.773
2023/11/28 0:21:14,79,0.739
2023/11/28 0:21:15,79,0.722
2023/11/28 0:21:15,79,0.742
2023/11/28 0:21:16,79,0.740
2023/11/28 0:21:17,79,0.741
2023/11/28 0:21:18,80,0.818
2023/11/28 0:21:19,79,0.869
2023/11/28 0:21:20,79,0.854
2023/11/28 0:21:21,77,0.902
2023/11/28 0:21:21,77,0.893
2023/11/28 0:21:22,76,0.834
2023/11/28 0:21:23,75,0.839
2023/11/28 0:21:24,75,0.838
2023/11/28 0:21:25,74,0.801
2023/11/28 0:21:26,74,0.836
2023/11/28 0:21:26,74,0.853
2023/11/28 0:21:27,74,0.818
2023/11/28 0:21:28,74,0.870
2023/11/28 0:21:29,73,0.858
2023/11/28 0:21:30,73,0.808
2023/11/28 0:21:31,73,0.859
2023/11/28 0:21:32,73,0.869
2023/11/28 0:21:32,73,0.816
2023/11/28 0:21:33,72,0.829
2023/11/28 0:21:34,72,0.819
2023/11/28 0:21:35,72,0.797
2023/11/28 0:21:36,73,0.807
2023/11/28 0:21:36,73,0.792
2023/11/28 0:21:37,73,0.778
2023/11/28 0:21:38,73,0.812
2023/11/28 0:21:39,74,0.814
2023/11/28 0:21:40,74,0.806
2023/11/28 0:21:40,74,0.862
2023/11/28 0:21:41,74,0.785
2023/11/28 0:21:42,73,0.792
2023/11/28 0:21:43,74,0.746
2023/11/28 0:21:43,74,0.766
2023/11/28 0:21:44,75,0.746
2023/11/28 0:21:45,75,0.737
2023/11/28 0:21:46,76,0.775
2023/11/28 0:21:47,76,0.787
2023/11/28 0:21:47,76,0.797
2023/11/28 0:21:48,76,0.867
2023/11/28 0:21:49,76,0.876
2023/11/28 0:21:50,75,0.873
2023/11/28 0:21:51,74,0.901
2023/11/28 0:21:52,74,0.847
2023/11/28 0:21:53,73,0.861
2023/11/28 0:21:53,73,0.866
2023/11/28 0:21:54,73,0.814
2023/11/28 0:21:55,72,0.816
2023/11/28 0:21:56,73,0.847
2023/11/28 0:21:57,73,0.836
2023/11/28 0:21:58,72,0.871
2023/11/28 0:21:59,72,0.920
2023/11/28 0:22:00,71,0.893
2023/11/28 0:22:00,71,0.865
