Timestamp,Heart Rate,RR Interval in seconds
2023/11/2 23:13:17,0,0.982
2023/11/2 23:13:17,0,1.024
2023/11/2 23:13:19,0,0.732
2023/11/2 23:13:20,0,0.600
2023/11/2 23:13:21,0,1.237
2023/11/2 23:13:23,0,1.286
2023/11/2 23:13:24,48,1.250
2023/11/2 23:13:25,48,2.373
2023/11/2 23:13:26,48,0.915
2023/11/2 23:13:27,48,0.968
2023/11/2 23:13:28,49,0.882
2023/11/2 23:13:29,51,0.890
2023/11/2 23:13:30,51,1.044
2023/11/2 23:13:31,52,1.298
2023/11/2 23:13:32,52,0.978
2023/11/2 23:13:33,53,1.015
2023/11/2 23:13:33,53,1.038
2023/11/2 23:13:34,56,0.522
2023/11/2 23:13:34,56,0.401
2023/11/2 23:13:34,56,0.425
2023/11/2 23:13:35,56,0.511
2023/11/2 23:13:37,57,0.913
2023/11/2 23:13:38,57,0.880
2023/11/2 23:13:39,61,0.828
2023/11/2 23:13:39,61,0.827
2023/11/2 23:13:40,65,0.818
2023/11/2 23:13:40,65,0.837
2023/11/2 23:13:42,66,0.771
2023/11/2 23:13:43,68,0.265
2023/11/2 23:13:43,68,1.310
2023/11/2 23:13:44,69,0.910
2023/11/2 23:13:45,69,0.825
2023/11/2 23:13:46,69,0.803
2023/11/2 23:13:47,70,0.778
2023/11/2 23:13:48,71,0.832
2023/11/2 23:13:49,71,1.068
2023/11/2 23:13:50,71,1.148
2023/11/2 23:13:51,68,1.083
2023/11/2 23:13:52,66,0.861
2023/11/2 23:13:53,66,0.910
2023/11/2 23:13:54,66,0.923
2023/11/2 23:13:55,66,0.930
2023/11/2 23:13:55,66,0.872
2023/11/2 23:13:56,66,0.832
2023/11/2 23:13:57,66,0.920
2023/11/2 23:13:58,67,0.982
2023/11/2 23:13:59,66,0.936
2023/11/2 23:14:00,66,0.868
2023/11/2 23:14:01,66,0.884
2023/11/2 23:14:02,66,0.895
2023/11/2 23:14:03,66,0.869
2023/11/2 23:14:04,67,0.837
2023/11/2 23:14:05,67,0.910
2023/11/2 23:14:05,67,0.933
2023/11/2 23:14:06,67,0.960
2023/11/2 23:14:07,67,0.971
2023/11/2 23:14:08,66,0.907
2023/11/2 23:14:09,66,0.913
2023/11/2 23:14:10,66,0.907
2023/11/2 23:14:11,66,0.948
2023/11/2 23:14:12,66,0.919
2023/11/2 23:14:13,66,0.983
2023/11/2 23:14:14,65,0.951
2023/11/2 23:14:15,65,0.985
2023/11/2 23:14:16,65,0.900
2023/11/2 23:14:17,65,0.865
2023/11/2 23:14:18,65,0.896
2023/11/2 23:14:19,65,1.053
2023/11/2 23:14:20,65,1.033
2023/11/2 23:14:21,64,0.931
2023/11/2 23:14:21,64,0.976
2023/11/2 23:14:22,64,0.895
2023/11/2 23:14:23,64,0.894
2023/11/2 23:14:24,64,0.986
2023/11/2 23:14:25,64,0.937
2023/11/2 23:14:26,64,0.940
2023/11/2 23:14:27,64,0.979
2023/11/2 23:14:28,64,0.922
2023/11/2 23:14:29,64,1.003
2023/11/2 23:14:30,64,0.929
2023/11/2 23:14:31,64,0.970
2023/11/2 23:14:32,63,0.931
2023/11/2 23:14:33,64,0.845
2023/11/2 23:14:33,64,0.848
2023/11/2 23:14:34,65,0.787
2023/11/2 23:14:35,65,0.789
2023/11/2 23:14:36,67,0.803
2023/11/2 23:14:37,68,0.825
2023/11/2 23:14:37,68,0.823
2023/11/2 23:14:38,69,0.800
2023/11/2 23:14:39,69,0.788
2023/11/2 23:14:40,70,0.763
2023/11/2 23:14:40,70,0.763
2023/11/2 23:14:41,71,0.784
2023/11/2 23:14:42,72,0.828
2023/11/2 23:14:44,72,0.957
2023/11/2 23:14:45,72,0.952
2023/11/2 23:14:46,71,1.272
2023/11/2 23:14:47,68,1.150
2023/11/2 23:14:48,67,1.219
2023/11/2 23:14:49,65,1.097
2023/11/2 23:14:50,64,1.017
2023/11/2 23:14:51,63,0.933
2023/11/2 23:14:52,63,0.953
2023/11/2 23:14:53,63,0.926
2023/11/2 23:14:54,63,0.839
2023/11/2 23:14:55,64,0.911
2023/11/2 23:14:55,64,0.935
2023/11/2 23:14:56,64,0.900
2023/11/2 23:14:57,64,0.828
2023/11/2 23:14:58,65,0.799
2023/11/2 23:14:59,67,0.836
2023/11/2 23:14:59,67,0.854
2023/11/2 23:15:00,67,0.824
2023/11/2 23:15:01,67,0.768
2023/11/2 23:15:02,68,0.788
2023/11/2 23:15:03,70,0.806
2023/11/2 23:15:03,70,0.820
2023/11/2 23:15:04,70,0.828
2023/11/2 23:15:05,70,0.771
2023/11/2 23:15:06,71,0.747
2023/11/2 23:15:07,72,0.764
2023/11/2 23:15:08,73,0.870
2023/11/2 23:15:08,73,0.900
2023/11/2 23:15:09,72,0.818
2023/11/2 23:15:10,72,0.883
2023/11/2 23:15:11,72,0.815
2023/11/2 23:15:12,72,0.759
2023/11/2 23:15:12,72,0.751
2023/11/2 23:15:13,73,0.760
2023/11/2 23:15:14,74,0.795
2023/11/2 23:15:15,74,0.883
2023/11/2 23:15:16,74,0.843
2023/11/2 23:15:17,73,0.887
2023/11/2 23:15:18,73,1.035
2023/11/2 23:15:19,72,0.953
2023/11/2 23:15:20,71,0.900
2023/11/2 23:15:21,70,0.890
2023/11/2 23:15:22,69,1.007
2023/11/2 23:15:22,69,0.893
2023/11/2 23:15:23,69,0.922
2023/11/2 23:15:24,68,0.873
2023/11/2 23:15:25,68,0.901
2023/11/2 23:15:26,68,0.830
2023/11/2 23:15:27,68,0.792
2023/11/2 23:15:28,69,0.856
2023/11/2 23:15:29,69,0.988
2023/11/2 23:15:30,69,0.961
2023/11/2 23:15:31,68,0.893
2023/11/2 23:15:31,68,0.962
2023/11/2 23:15:32,68,0.928
2023/11/2 23:15:34,67,0.854
2023/11/2 23:15:35,67,0.919
2023/11/2 23:15:36,67,1.313
2023/11/2 23:15:37,66,1.059
2023/11/2 23:15:38,65,1.344
2023/11/2 23:15:49,57,1.004
2023/11/2 23:15:49,57,1.192
2023/11/2 23:15:50,57,1.191
2023/11/2 23:15:51,56,0.915
2023/11/2 23:15:52,56,0.889
2023/11/2 23:15:53,57,0.795
