Timestamp,Heart Rate,RR Interval in seconds
2023/11/10 23:11:49,78,0.817
2023/11/10 23:11:50,77,0.848
2023/11/10 23:11:51,75,0.866
2023/11/10 23:11:51,75,0.858
2023/11/10 23:11:52,74,0.924
2023/11/10 23:11:53,74,0.921
2023/11/10 23:11:54,73,0.851
2023/11/10 23:11:55,72,0.938
2023/11/10 23:11:56,72,0.918
2023/11/10 23:11:57,71,0.833
2023/11/10 23:11:58,71,0.879
2023/11/10 23:11:59,71,0.875
2023/11/10 23:11:59,71,0.840
2023/11/10 23:12:00,71,0.875
2023/11/10 23:12:01,70,0.912
2023/11/10 23:12:02,70,0.865
2023/11/10 23:12:03,70,0.854
2023/11/10 23:12:04,70,0.939
2023/11/10 23:12:05,70,0.920
2023/11/10 23:12:06,69,0.830
2023/11/10 23:12:06,69,0.905
2023/11/10 23:12:07,69,0.872
2023/11/10 23:12:08,69,0.802
2023/11/10 23:12:09,69,0.862
2023/11/10 23:12:10,70,0.851
2023/11/10 23:12:11,70,0.813
2023/11/10 23:12:12,70,0.884
2023/11/10 23:12:13,70,0.925
2023/11/10 23:12:13,70,0.875
2023/11/10 23:12:14,69,0.901
2023/11/10 23:12:15,69,0.931
2023/11/10 23:12:16,69,0.880
2023/11/10 23:12:17,69,0.881
2023/11/10 23:12:18,68,0.920
2023/11/10 23:12:19,68,0.887
2023/11/10 23:12:20,68,0.838
2023/11/10 23:12:20,68,0.880
2023/11/10 23:12:21,68,0.882
2023/11/10 23:12:22,68,0.815
2023/11/10 23:12:23,69,0.895
2023/11/10 23:12:24,69,0.911
2023/11/10 23:12:25,69,0.840
2023/11/10 23:12:26,69,0.911
2023/11/10 23:12:27,68,0.898
2023/11/10 23:12:27,68,0.839
2023/11/10 23:12:28,68,0.861
2023/11/10 23:12:29,69,0.873
2023/11/10 23:12:30,69,0.859
2023/11/10 23:12:31,69,0.819
2023/11/10 23:12:32,69,0.853
2023/11/10 23:12:33,69,0.873
2023/11/10 23:12:34,69,0.825
2023/11/10 23:12:34,69,0.912
2023/11/10 23:12:35,69,0.915
2023/11/10 23:12:35,69,0.841
2023/11/10 23:12:36,69,0.855
2023/11/10 23:12:40,70,0.658
2023/11/10 23:12:40,70,0.866
2023/11/10 23:12:41,70,2.801
2023/11/10 23:12:42,71,0.679
2023/11/10 23:12:42,71,0.675
